name,inat_place_id,orgname,fws_region,prop_type
Crane Meadows National Wildlife Refuge,119277,CRANE MEADOWS NATIONAL WILDLIFE REFUGE,3,NWR
Creedman Coulee National Wildlife Refuge,119278,CREEDMAN COULEE NATIONAL WILDLIFE REFUGE,6,NWR
Crescent Lake National Wildlife Refuge,119279,CRESCENT LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Crocodile Lake National Wildlife Refuge,119280,CROCODILE LAKE NATIONAL WILDLIFE REFUGE,4,NWR
Crosby Wetland Management District,119281,CROSBY WETLAND MANAGEMENT DISTRICT,6,WMD
Cross Creeks National Wildlife Refuge,119282,CROSS CREEKS NATIONAL WILDLIFE REFUGE,4,NWR
Cross Island National Wildlife Refuge,119283,CROSS ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Crystal River National Wildlife Refuge,119288,CRYSTAL RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Culebra National Wildlife Refuge,119289,CULEBRA NATIONAL WILDLIFE REFUGE,4,NWR
Currituck National Wildlife Refuge,119290,CURRITUCK NATIONAL WILDLIFE REFUGE,4,NWR
Cypress Creek National Wildlife Refuge,119291,CYPRESS CREEK NATIONAL WILDLIFE REFUGE,3,NWR
D'Arbonne National Wildlife Refuge,119292,D'ARBONNE NATIONAL WILDLIFE REFUGE,4,NWR
Dahomey National Wildlife Refuge,119284,DAHOMEY NATIONAL WILDLIFE REFUGE,4,NWR
Dale Bumpers White River National Wildlife Refuge,119285,DALE BUMPERS WHITE RIVER NATIONAL WILDLIFE REFUGE,4,NWR
Deep Fork National Wildlife Refuge,119286,DEEP FORK NATIONAL WILDLIFE REFUGE,2,NWR
Deer Flat National Wildlife Refuge,119287,DEER FLAT NATIONAL WILDLIFE REFUGE,1,NWR
Delevan National Wildlife Refuge,119153,DELEVAN NATIONAL WILDLIFE REFUGE,8,NWR
Delta National Wildlife Refuge,119156,DELTA NATIONAL WILDLIFE REFUGE,4,NWR
Des Lacs National Wildlife Refuge,119154,DES LACS NATIONAL WILDLIFE REFUGE,6,NWR
Desecheo National Wildlife Refuge,119155,DESECHEO NATIONAL WILDLIFE REFUGE,4,NWR
Desert National Wildlife Range,119164,DESERT NATIONAL WILDLIFE RANGE,8,NWR
Desoto National Wildlife Refuge,119293,DESOTO NATIONAL WILDLIFE REFUGE,3,NWR
Detroit Lakes Wetland Management District,119294,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,3,WMD
Detroit River International Wildlife Refuge,119295,DETROIT RIVER INTERNATIONAL WILDLIFE REFUGE,3,NWR
Devils Lake Wetland Management District,119296,DEVILS LAKE WETLAND MANAGEMENT DISTRICT,6,WMD
Don Edwards San Francisco Bay National Wildlife Refuge,119297,DON EDWARDS SAN FRANCISCO BAY NATIONAL WILDLIFE REFUGE,8,NWR
Driftless Area National Wildlife Refuge,119300,DRIFTLESS AREA NATIONAL WILDLIFE REFUGE,3,NWR
Dungeness National Wildlife Refuge,119301,DUNGENESS NATIONAL WILDLIFE REFUGE,1,NWR
Eastern Neck National Wildlife Refuge,119302,EASTERN NECK NATIONAL WILDLIFE REFUGE,5,NWR
Eastern Shore Of Virginia National Wildlife Refuge,119303,EASTERN SHORE OF VIRGINIA NATIONAL WILDLIFE REFUGE,5,NWR
Edwin B. Forsythe National Wildlife Refuge,119304,EDWIN B. FORSYTHE NATIONAL WILDLIFE REFUGE,5,NWR
Egmont Key National Wildlife Refuge,119298,EGMONT KEY NATIONAL WILDLIFE REFUGE,4,NWR
Elizabeth Alexandra Morton National Wildlife Refuge,119299,ELIZABETH ALEXANDRA MORTON NATIONAL WILDLIFE REFUGE,5,NWR
Ellicott Slough National Wildlife Refuge,119305,ELLICOTT SLOUGH NATIONAL WILDLIFE REFUGE,8,NWR
Emiquon National Wildlife Refuge,119311,EMIQUON NATIONAL WILDLIFE REFUGE,3,NWR
Erie National Wildlife Refuge,119312,ERIE NATIONAL WILDLIFE REFUGE,5,NWR
Ernest F. Hollings Ace Basin National Wildlife Refuge,119313,ERNEST F. HOLLINGS ACE BASIN NATIONAL WILDLIFE REFUGE,4,NWR
Eufaula National Wildlife Refuge,119314,EUFAULA NATIONAL WILDLIFE REFUGE,4,NWR
Everglades Headwaters National Wildlife Refuge And Conservation Area,119316,EVERGLADES HEADWATERS NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA,4,NWR
Fallon National Wildlife Refuge,119317,FALLON NATIONAL WILDLIFE REFUGE,8,NWR
Farallon National Wildlife Refuge,119318,FARALLON NATIONAL WILDLIFE REFUGE,8,NWR
Featherstone National Wildlife Refuge,119319,FEATHERSTONE NATIONAL WILDLIFE REFUGE,5,NWR
Felsenthal National Wildlife Refuge,119320,FELSENTHAL NATIONAL WILDLIFE REFUGE,4,NWR
Fergus Falls Wetland Management District,119321,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,3,WMD
Fern Cave National Wildlife Refuge,119306,FERN CAVE NATIONAL WILDLIFE REFUGE,4,NWR
Fish Springs National Wildlife Refuge,119307,FISH SPRINGS NATIONAL WILDLIFE REFUGE,6,NWR
